GEO.id,zip_code,GEO.display-label,NAICS.id,NAICS.display-label,YEAR.id,ESTAB,EMP,PAYQTR1,PAYANN
8610000US10001,10001,"ZIP 10001 (New York, NY)",0,Total for all sectors,2016,7296,149825,2238126,9003675
8610000US10002,10002,"ZIP 10002 (New York, NY)",0,Total for all sectors,2016,2998,23220,164606,723242
8610000US10003,10003,"ZIP 10003 (New York, NY)",0,Total for all sectors,2016,4300,107728,1685926,6918342
8610000US10004,10004,"ZIP 10004 (New York, NY)",0,Total for all sectors,2016,1600,64376,1687946,5638373
8610000US10005,10005,"ZIP 10005 (New York, NY)",0,Total for all sectors,2016,1340,47554,2373123,6595876
8610000US10006,10006,"ZIP 10006 (New York, NY)",0,Total for all sectors,2016,829,17906,746686,2322344
8610000US10007,10007,"ZIP 10007 (New York, NY)",0,Total for all sectors,2016,1492,34380,1092981,3340212
8610000US10008,10008,"ZIP 10008 (New York, NY)",0,Total for all sectors,2016,10,433,4451,18169
8610000US10009,10009,"ZIP 10009 (New York, NY)",0,Total for all sectors,2016,1270,10267,105730,461216
8610000US10010,10010,"ZIP 10010 (New York, NY)",0,Total for all sectors,2016,3052,74148,2484792,8190046
8610000US10011,10011,"ZIP 10011 (New York, NY)",0,Total for all sectors,2016,3945,65080,1450784,5677603
8610000US10012,10012,"ZIP 10012 (New York, NY)",0,Total for all sectors,2016,2953,41150,640576,2765485
8610000US10013,10013,"ZIP 10013 (New York, NY)",0,Total for all sectors,2016,5229,85270,3149961,8251251
8610000US10014,10014,"ZIP 10014 (New York, NY)",0,Total for all sectors,2016,2418,42547,770439,3085067
8610000US10016,10016,"ZIP 10016 (New York, NY)",0,Total for all sectors,2016,5991,106339,2569486,9941135
8610000US10017,10017,"ZIP 10017 (New York, NY)",0,Total for all sectors,2016,4892,143488,7296710,20206253
8610000US10018,10018,"ZIP 10018 (New York, NY)",0,Total for all sectors,2016,6578,142080,2943504,11358817
8610000US10019,10019,"ZIP 10019 (New York, NY)",0,Total for all sectors,2016,4762,148354,7186564,21082378
8610000US10020,10020,"ZIP 10020 (New York, NY)",0,Total for all sectors,2016,727,26844,1441878,4589084
8610000US10021,10021,"ZIP 10021 (New York, NY)",0,Total for all sectors,2016,2892,64230,1428610,5807071
8610000US10022,10022,"ZIP 10022 (New York, NY)",0,Total for all sectors,2016,6309,142385,8179150,23065864
8610000US10023,10023,"ZIP 10023 (New York, NY)",0,Total for all sectors,2016,2280,47409,765577,2889492
8610000US10024,10024,"ZIP 10024 (New York, NY)",0,Total for all sectors,2016,1971,21001,206675,947895
8610000US10025,10025,"ZIP 10025 (New York, NY)",0,Total for all sectors,2016,2044,23079,240316,1009275
8610000US10026,10026,"ZIP 10026 (New York, NY)",0,Total for all sectors,2016,529,3659,25430,114133
8610000US10027,10027,"ZIP 10027 (New York, NY)",0,Total for all sectors,2016,1083,44110,648338,2683670
