"ZIP
code [1]",Size of adjusted gross income,Number of returns,Number of single returns,Number of joint returns,Number of head of household returns,Number with paid preparer's signature,Number of exemptions,Number of dependents
0,Total,"9,468,060","4,848,730","2,939,200","1,480,010","6,084,350","17,229,510","5,371,740"
0,"$1 under $25,000",3445310,2354910,445530,595140,2114250,4860280,1503570
0,"$25,000 under $50,000",2123960,1161980,441060,474430,1285470,3760760,1210680
0,"$50,000 under $75,000",1297130,644420,398720,216490,829250,2370910,677620
0,"$75,000 under $100,000",825290,307400,392440,99910,554960,1705470,486790
0,"$100,000 under $200,000",1242990,293860,841230,82300,877310,3053530,970230
0,"$200,000 or more",533380,86160,420220,11740,423110,1478560,522850
,,,,,,,,
10001,,"14,520","10,450","2,540","1,120","8,790","19,960","3,290"
10001,"$1 under $25,000",3740,2890,350,400,2200,4640,870
10001,"$25,000 under $50,000",2500,1850,240,340,1360,3390,690
10001,"$50,000 under $75,000",1950,1540,190,160,1110,2440,310
10001,"$75,000 under $100,000",1410,1120,170,80,820,1760,190
10001,"$100,000 under $200,000",2580,1850,560,90,1540,3580,440
10001,"$200,000 or more",2340,1200,1030,50,1760,4150,790
,,,,,,,,
10002,,"42,180","25,270","10,500","5,630","28,170","68,970","17,490"
10002,"$1 under $25,000",21180,12550,5360,2950,15360,33920,8490
10002,"$25,000 under $50,000",8210,4660,1900,1480,5150,14540,4480
10002,"$50,000 under $75,000",4810,3300,730,670,2780,7120,1590
10002,"$75,000 under $100,000",2710,1850,520,270,1560,4020,800
10002,"$100,000 under $200,000",3620,2200,1120,210,2160,6000,1270
10002,"$200,000 or more",1650,710,870,50,1160,3370,860
,,,,,,,,
10003,,"28,660","21,830","5,340",870,"18,300","37,530","4,490"
10003,"$1 under $25,000",5030,4400,330,200,2940,5020,450
10003,"$25,000 under $50,000",3870,3350,280,150,2260,4420,380
10003,"$50,000 under $75,000",3960,3470,280,120,2230,4510,300
10003,"$75,000 under $100,000",3220,2710,330,100,1870,3820,280
10003,"$100,000 under $200,000",6300,4830,1190,140,4080,8210,730
10003,"$200,000 or more",6280,3070,2930,160,4920,11550,2350
,,,,,,,,
10004,,"2,480","1,460",800,120,"1,660","4,220","1,030"
10004,"$1 under $25,000",360,280,30,20,240,370,60
10004,"$25,000 under $50,000",250,200,30,30,140,330,60
10004,"$50,000 under $75,000",290,250,40,**,170,330,20
10004,"$75,000 under $100,000",210,170,**,**,130,250,30
10004,"$100,000 under $200,000",520,340,130,30,320,810,150
10004,"$200,000 or more",850,220,570,40,660,2130,710
,,,,,,,,
10005,,"5,940","4,360","1,260",140,"3,360","8,160","1,220"
10005,"$1 under $25,000",690,620,30,20,410,620,60
10005,"$25,000 under $50,000",750,700,20,30,360,750,30
10005,"$50,000 under $75,000",860,780,40,**,380,940,50
10005,"$75,000 under $100,000",660,570,40,20,310,740,50
10005,"$100,000 under $200,000",1360,1070,220,30,700,1760,190
10005,"$200,000 or more",1620,620,910,40,1200,3350,840
,,,,,,,,
10006,,"2,370","1,730",510,60,"1,290","3,410",580
10006,"$1 under $25,000",310,260,40,30,180,340,50
10006,"$25,000 under $50,000",290,260,**,**,150,320,20
10006,"$50,000 under $75,000",330,300,40,**,140,380,30
10006,"$75,000 under $100,000",250,220,**,**,120,310,40
10006,"$100,000 under $200,000",620,450,130,30,330,890,140
10006,"$200,000 or more",570,240,300,**,370,1170,300
,,,,,,,,
10007,,"3,440","2,010","1,190",120,"2,560","5,940","1,460"
10007,"$1 under $25,000",470,410,30,30,340,400,40
10007,"$25,000 under $50,000",320,270,30,**,210,400,60
10007,"$50,000 under $75,000",280,230,20,30,160,340,50
10007,"$75,000 under $100,000",210,160,30,**,140,290,50
10007,"$100,000 under $200,000",590,410,110,30,410,880,170
10007,"$200,000 or more",1570,530,970,30,1300,3630,1090
,,,,,,,,
10009,,"32,410","23,180","5,060","3,470","17,760","45,420","9,120"
10009,"$1 under $25,000",9560,7010,950,1410,5300,12690,3210
10009,"$25,000 under $50,000",6660,4870,660,1010,3450,9390,2170
10009,"$50,000 under $75,000",5480,4360,500,500,2750,7000,1040
10009,"$75,000 under $100,000",3580,2780,460,240,1910,4610,580
10009,"$100,000 under $200,000",5030,3290,1370,240,2930,7530,1140
10009,"$200,000 or more",2100,870,1120,70,1420,4200,980
,,,,,,,,
10010,,"17,360","12,670","3,540",710,"10,930","23,910","3,480"
10010,"$1 under $25,000",2560,2200,180,130,1470,2610,290
10010,"$25,000 under $50,000",2280,1900,170,160,1270,2720,320
10010,"$50,000 under $75,000",2550,2180,190,110,1430,2980,250
10010,"$75,000 under $100,000",1980,1650,180,80,1170,2380,210
10010,"$100,000 under $200,000",4010,2940,830,120,2550,5480,640
10010,"$200,000 or more",3980,1800,1990,110,3040,7740,1770
,,,,,,,,
10011,,"29,920","22,080","5,700","1,330","19,890","40,340","5,490"
10011,"$1 under $25,000",5120,4320,300,370,3180,5520,790
10011,"$25,000 under $50,000",3680,2990,270,320,2270,4480,590
10011,"$50,000 under $75,000",3650,3050,300,170,2240,4310,370
10011,"$75,000 under $100,000",3130,2600,310,110,1930,3740,300
10011,"$100,000 under $200,000",6870,5310,1200,170,4410,8870,800
10011,"$200,000 or more",7470,3810,3320,190,5860,13420,2640
,,,,,,,,
10012,,"12,470","9,260","2,430",430,"7,740","16,810","2,270"
10012,"$1 under $25,000",2390,1960,240,120,1480,2660,320
10012,"$25,000 under $50,000",1740,1460,160,80,980,2080,220
10012,"$50,000 under $75,000",1730,1450,190,50,960,2040,140
10012,"$75,000 under $100,000",1340,1100,150,40,750,1620,140
10012,"$100,000 under $200,000",2730,2050,540,50,1610,3620,350
10012,"$200,000 or more",2540,1240,1150,90,1960,4790,1100
,,,,,,,,
10013,,"14,940","9,170","4,530",810,"10,740","24,390","5,560"
10013,"$1 under $25,000",4260,2910,960,290,3200,5700,1040
10013,"$25,000 under $50,000",2060,1420,410,160,1370,3080,670
10013,"$50,000 under $75,000",1630,1270,200,110,930,2130,300
10013,"$75,000 under $100,000",1160,900,170,60,690,1540,220
10013,"$100,000 under $200,000",2030,1410,500,60,1340,2950,430
10013,"$200,000 or more",3800,1260,2290,130,3210,8990,2900
,,,,,,,,
10014,,"18,660","14,200","3,460",530,"12,210","24,650","3,000"
10014,"$1 under $25,000",2770,2430,150,100,1740,2730,200
10014,"$25,000 under $50,000",2160,1850,150,90,1330,2500,220
10014,"$50,000 under $75,000",2330,2020,170,70,1370,2700,220
10014,"$75,000 under $100,000",2040,1720,200,60,1250,2390,170
10014,"$100,000 under $200,000",4640,3650,760,120,2880,5900,500
10014,"$200,000 or more",4720,2530,2030,90,3640,8430,1690
,,,,,,,,
10016,,"31,940","24,190","5,750","1,140","19,820","42,080","5,400"
10016,"$1 under $25,000",5170,4360,340,320,3230,5420,700
10016,"$25,000 under $50,000",4650,4040,300,210,2630,5280,490
10016,"$50,000 under $75,000",5170,4590,300,160,2850,5820,390
10016,"$75,000 under $100,000",3820,3300,320,100,2140,4450,320
10016,"$100,000 under $200,000",6930,5210,1320,180,4240,9120,880
10016,"$200,000 or more",6200,2690,3170,170,4730,11990,2620
,,,,,,,,
10017,,"11,850","8,020","2,920",390,"8,380","17,170","2,790"
10017,"$1 under $25,000",1820,1530,110,60,1290,1820,180
10017,"$25,000 under $50,000",1380,1150,110,60,920,1600,150
10017,"$50,000 under $75,000",1490,1280,120,60,890,1750,170
10017,"$75,000 under $100,000",1250,1040,120,40,760,1490,140
10017,"$100,000 under $200,000",2650,1860,600,80,1790,3750,500
10017,"$200,000 or more",3260,1160,1860,90,2730,6760,1650
,,,,,,,,
10018,,"6,390","4,560","1,230",380,"4,040","8,900","1,480"
10018,"$1 under $25,000",1430,1160,120,100,950,1640,250
10018,"$25,000 under $50,000",1020,770,120,110,560,1380,270
10018,"$50,000 under $75,000",820,660,80,70,470,1020,130
10018,"$75,000 under $100,000",580,470,70,**,310,740,90
10018,"$100,000 under $200,000",1200,930,190,30,690,1520,130
10018,"$200,000 or more",1340,570,650,70,1060,2600,610
,,,,,,,,
10019,,"25,110","17,950","5,010","1,400","15,120","34,640","5,080"
10019,"$1 under $25,000",4920,3920,450,400,3030,5900,1000
10019,"$25,000 under $50,000",3650,2840,360,350,1990,4760,800
10019,"$50,000 under $75,000",3560,2860,360,220,1850,4450,550
10019,"$75,000 under $100,000",2540,2050,320,100,1410,3160,300
10019,"$100,000 under $200,000",5400,3950,1100,200,3110,7240,750
10019,"$200,000 or more",5040,2330,2420,130,3730,9130,1680
,,,,,,,,
10021,,"23,530","15,210","6,680",780,"16,660","35,550","6,430"
10021,"$1 under $25,000",3460,3040,200,90,2410,2930,220
10021,"$25,000 under $50,000",2600,2240,170,80,1520,2910,220
10021,"$50,000 under $75,000",3150,2700,240,100,1800,3600,240
10021,"$75,000 under $100,000",2520,2030,300,90,1580,3080,260
10021,"$100,000 under $200,000",4890,3190,1310,210,3450,7130,950
10021,"$200,000 or more",6910,2010,4460,210,5900,15900,4540
,,,,,,,,
10022,,"19,840","12,860","5,560",630,"14,540","29,450","4,730"
10022,"$1 under $25,000",2770,2400,160,80,1960,2610,250
10022,"$25,000 under $50,000",2130,1810,180,80,1390,2450,210
10022,"$50,000 under $75,000",2320,1940,210,60,1460,2730,220
10022,"$75,000 under $100,000",2010,1600,250,80,1320,2500,240
10022,"$100,000 under $200,000",4480,2980,1180,140,3200,6420,770
10022,"$200,000 or more",6130,2130,3580,190,5210,12740,3040
,,,,,,,,
10023,,"34,070","21,740","9,540","1,680","23,150","52,060","9,670"
10023,"$1 under $25,000",5910,4970,370,410,3690,6020,870
10023,"$25,000 under $50,000",3920,3060,380,350,2380,4990,760
10023,"$50,000 under $75,000",3720,2990,370,210,2280,4580,500
10023,"$75,000 under $100,000",3290,2550,470,140,2110,4140,390
10023,"$100,000 under $200,000",7610,5000,2060,270,5080,10980,1320
10023,"$200,000 or more",9620,3170,5890,300,7610,21350,5830
,,,,,,,,
10024,,"30,410","18,190","9,700","1,650","21,090","49,510","10,970"
10024,"$1 under $25,000",5710,4870,340,360,3800,5380,770
10024,"$25,000 under $50,000",3590,2830,320,320,2180,4480,670
10024,"$50,000 under $75,000",3570,2730,430,280,2190,4680,690
10024,"$75,000 under $100,000",2860,2090,510,140,1790,3870,510
10024,"$100,000 under $200,000",6110,3620,2040,250,4160,9660,1520
10024,"$200,000 or more",8570,2050,6060,300,6970,21440,6810
,,,,,,,,
10025,,"45,610","27,990","11,540","4,850","28,960","71,810","16,650"
10025,"$1 under $25,000",12490,9830,770,1630,7330,14670,3250
10025,"$25,000 under $50,000",7810,5520,740,1350,4420,10910,2470
10025,"$50,000 under $75,000",6190,4480,770,740,3660,8540,1600
10025,"$75,000 under $100,000",4190,2840,850,340,2580,6030,990
10025,"$100,000 under $200,000",7460,3760,2920,500,5060,12740,2370
10025,"$200,000 or more",7470,1560,5490,290,5910,18920,5970
,,,,,,,,
10026,,"18,040","10,700","2,700","4,230","10,250","29,720","9,480"
10026,"$1 under $25,000",6900,4580,390,1820,3870,10420,3580
10026,"$25,000 under $50,000",4270,2490,400,1290,2360,7090,2440
10026,"$50,000 under $75,000",2550,1660,260,570,1350,3890,1090
10026,"$75,000 under $100,000",1410,840,230,280,770,2190,550
10026,"$100,000 under $200,000",1880,890,720,210,1160,3500,910
10026,"$200,000 or more",1030,240,700,60,740,2630,910
,,,,,,,,
10027,,"27,180","16,330","4,110","6,110","15,160","44,100","13,750"
10027,"$1 under $25,000",11490,7780,730,2800,6450,17180,5850
10027,"$25,000 under $50,000",6590,3870,630,1920,3480,10890,3700
10027,"$50,000 under $75,000",3430,2100,440,790,1800,5360,1490
10027,"$75,000 under $100,000",1830,1100,380,290,990,2890,680
10027,"$100,000 under $200,000",2430,1140,960,240,1440,4380,1000
10027,"$200,000 or more",1410,340,970,70,1000,3400,1030
,,,,,,,,
10028,,"25,100","16,290","7,090",930,"16,710","38,410","7,490"
10028,"$1 under $25,000",3920,3470,230,110,2660,3300,270
10028,"$25,000 under $50,000",2860,2440,210,120,1670,3260,290
10028,"$50,000 under $75,000",3730,3190,290,120,1950,4350,360
10028,"$75,000 under $100,000",2950,2380,350,110,1680,3650,360
10028,"$100,000 under $200,000",5300,3340,1550,220,3440,8060,1220
10028,"$200,000 or more",6340,1470,4460,250,5310,15790,4990
,,,,,,,,
10029,,"35,060","20,220","5,120","9,010","20,070","60,140","21,060"
10029,"$1 under $25,000",16590,10430,1670,4270,9500,27280,10080
10029,"$25,000 under $50,000",9360,5010,1190,2950,5220,16890,6390
10029,"$50,000 under $75,000",4620,2660,670,1180,2590,7700,2410
10029,"$75,000 under $100,000",1880,1040,380,390,1100,3110,850
10029,"$100,000 under $200,000",1780,880,650,180,1050,3150,710
10029,"$200,000 or more",830,200,560,40,610,2010,620
,,,,,,,,
10030,,"13,630","8,150","1,310","3,940","7,790","22,500","7,910"
10030,"$1 under $25,000",6490,4140,370,1890,3780,10380,3870
10030,"$25,000 under $50,000",3620,2060,310,1190,1950,6210,2280
10030,"$50,000 under $75,000",1810,1080,170,520,970,2880,900
10030,"$75,000 under $100,000",810,460,120,210,480,1300,370
10030,"$100,000 under $200,000",700,350,210,130,450,1240,330
10030,"$200,000 or more",200,60,130,**,160,490,160
,,,,,,,,
10031,,"29,340","18,810","3,560","6,400","17,980","45,990","14,050"
10031,"$1 under $25,000",13840,9790,1020,2840,8800,20340,6370
10031,"$25,000 under $50,000",7940,4880,840,2070,4640,12940,4200
10031,"$50,000 under $75,000",4010,2430,560,910,2320,6270,1710
10031,"$75,000 under $100,000",1660,920,310,370,990,2710,750
10031,"$100,000 under $200,000",1510,690,590,190,960,2850,760
10031,"$200,000 or more",380,100,240,20,270,880,260
,,,,,,,,
10032,,"29,300","18,580","3,830","6,420","18,790","46,810","14,660"
10032,"$1 under $25,000",14390,10270,1190,2780,9610,21500,6860
10032,"$25,000 under $50,000",7810,4670,890,2120,4800,12870,4210
10032,"$50,000 under $75,000",3820,2160,570,980,2310,6310,1910
10032,"$75,000 under $100,000",1520,820,340,310,910,2550,700
10032,"$100,000 under $200,000",1420,580,600,230,910,2750,730
10032,"$200,000 or more",340,80,240,**,250,830,250
,,,,,,,,
10033,,"26,930","16,290","4,570","5,650","17,970","44,300","13,680"
10033,"$1 under $25,000",12800,8950,1160,2570,8840,19240,6140
10033,"$25,000 under $50,000",6580,3790,880,1810,4280,11030,3590
10033,"$50,000 under $75,000",3400,1950,590,770,2100,5570,1580
10033,"$75,000 under $100,000",1580,770,460,290,1020,2840,800
