,alias,categories,coordinates,display_phone,distance,id,image_url,is_closed,location,name,phone,price,rating,review_count,transactions,url
0,mos-original-brooklyn,"[{'alias': 'ramen', 'title': 'Ramen'}, {'alias': 'bbq', 'title': 'Barbeque'}, {'alias': 'comfortfood', 'title': 'Comfort Food'}]","{'latitude': 40.66127, 'longitude': -73.95342}",(718) 513-0698,1542.61715586412,YwpP-mgXV5N35xhLibLw5g,https://s3-media2.fl.yelpcdn.com/bphoto/-L9roT6Izi3vpaqAlRG2Hg/o.jpg,False,"{'address1': '453 Rogers Ave', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11225', 'country': 'US', 'state': 'NY', 'display_address': ['453 Rogers Ave', 'Brooklyn, NY 11225']}",Mo's Original,+17185130698,,4.5,32,[],https://www.yelp.com/biz/mos-original-brooklyn?adjust_creative=_dOL2tQEZNA2cv5pnszrdw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_dOL2tQEZNA2cv5pnszrdw
1,peaches-hothouse-brooklyn,"[{'alias': 'southern', 'title': 'Southern'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'bars', 'title': 'Bars'}]","{'latitude': 40.6833699737169, 'longitude': -73.9437798410654}",(718) 483-9111,3471.5254198124094,GA5msU6NO9rQRctPfDJCBg,https://s3-media1.fl.yelpcdn.com/bphoto/KEAXgZGetzDf_pc4kse_mw/o.jpg,False,"{'address1': '415 Tompkins Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11216', 'country': 'US', 'state': 'NY', 'display_address': ['415 Tompkins Ave', 'Brooklyn, NY 11216']}",Peaches HotHouse,+17184839111,$$,4.0,1082,"['pickup', 'delivery']",https://www.yelp.com/biz/peaches-hothouse-brooklyn?adjust_creative=_dOL2tQEZNA2cv5pnszrdw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_dOL2tQEZNA2cv5pnszrdw
2,claw-daddys-brooklyn,"[{'alias': 'cajun', 'title': 'Cajun/Creole'}, {'alias': 'seafood', 'title': 'Seafood'}]","{'latitude': 40.68561, 'longitude': -73.98035}",(347) 318-8893,5062.337404314597,1x2hn3e9sCCZca1cnRTpEg,https://s3-media3.fl.yelpcdn.com/bphoto/ABHo2xn4dcpVspJkaQ_g-g/o.jpg,False,"{'address1': '31 3rd Ave', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11217', 'country': 'US', 'state': 'NY', 'display_address': ['31 3rd Ave', 'Brooklyn, NY 11217']}",Claw Daddy's,+13473188893,$$,4.0,282,['restaurant_reservation'],https://www.yelp.com/biz/claw-daddys-brooklyn?adjust_creative=_dOL2tQEZNA2cv5pnszrdw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_dOL2tQEZNA2cv5pnszrdw
3,barons-brooklyn,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'seafood', 'title': 'Seafood'}]","{'latitude': 40.6908116, 'longitude': -73.953915}",(718) 230-7100,4451.492133298937,GxMhN2PEttvw7CRGIzB6Gg,https://s3-media3.fl.yelpcdn.com/bphoto/VmnsIdc4KYNyesoruVqkrg/o.jpg,False,"{'address1': '564 Dekalb Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11205', 'country': 'US', 'state': 'NY', 'display_address': ['564 Dekalb Ave', 'Brooklyn, NY 11205']}",Baron's,+17182307100,$$,4.5,258,"['pickup', 'restaurant_reservation']",https://www.yelp.com/biz/barons-brooklyn?adjust_creative=_dOL2tQEZNA2cv5pnszrdw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_dOL2tQEZNA2cv5pnszrdw
4,lowerline-brooklyn-2,"[{'alias': 'cajun', 'title': 'Cajun/Creole'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'southern', 'title': 'Southern'}]","{'latitude': 40.67421, 'longitude': -73.96324}",(347) 533-7110,3158.955607021585,swKXaURwqdSrSTcpHsxdbA,https://s3-media4.fl.yelpcdn.com/bphoto/oJbAhLpJ_gof0nrDw5dPjA/o.jpg,False,"{'address1': '794 Washington Ave', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11238', 'country': 'US', 'state': 'NY', 'display_address': ['794 Washington Ave', 'Brooklyn, NY 11238']}",Lowerline,+13475337110,$$,4.5,118,[],https://www.yelp.com/biz/lowerline-brooklyn-2?adjust_creative=_dOL2tQEZNA2cv5pnszrdw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_dOL2tQEZNA2cv5pnszrdw
5,uglyduckling-brooklyn,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'gastropubs', 'title': 'Gastropubs'}]","{'latitude': 40.686023, 'longitude': -73.991302}",(718) 451-3825,5764.199407804259,CwOAKJdX8AMz5iAoA-ZEuA,https://s3-media3.fl.yelpcdn.com/bphoto/sCDU8uosDuxp26wjxq4p4g/o.jpg,False,"{'address1': '166 Smith St', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11201', 'country': 'US', 'state': 'NY', 'display_address': ['166 Smith St', 'Brooklyn, NY 11201']}",Uglyduckling,+17184513825,$$,4.0,453,"['pickup', 'delivery', 'restaurant_reservation']",https://www.yelp.com/biz/uglyduckling-brooklyn?adjust_creative=_dOL2tQEZNA2cv5pnszrdw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_dOL2tQEZNA2cv5pnszrdw
6,biyou-brooklyn,"[{'alias': 'cajun', 'title': 'Cajun/Creole'}, {'alias': 'southern', 'title': 'Southern'}]","{'latitude': 40.68983, 'longitude': -73.93656}",(718) 928-7555,4186.932207656695,unePwYAUWb7oC8RBt84e3A,https://s3-media3.fl.yelpcdn.com/bphoto/6whCODNJsdOW8X19EnCCTA/o.jpg,False,"{'address1': '198 Lewis Ave', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11221', 'country': 'US', 'state': 'NY', 'display_address': ['198 Lewis Ave', 'Brooklyn, NY 11221']}",Biyou,+17189287555,$$,4.0,90,"['pickup', 'delivery']",https://www.yelp.com/biz/biyou-brooklyn?adjust_creative=_dOL2tQEZNA2cv5pnszrdw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_dOL2tQEZNA2cv5pnszrdw
7,the-food-sermon-kitchen-brooklyn,"[{'alias': 'caribbean', 'title': 'Caribbean'}]","{'latitude': 40.6647720336914, 'longitude': -73.9535217285156}",(718) 484-7555,1828.7086086789386,VDz9n7gwcq51wOAbTBdXxA,https://s3-media1.fl.yelpcdn.com/bphoto/bXQr1FUxujsyK1FjOupVyQ/o.jpg,False,"{'address1': '355 Rogers Ave', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11225', 'country': 'US', 'state': 'NY', 'display_address': ['355 Rogers Ave', 'Brooklyn, NY 11225']}",The Food Sermon Kitchen,+17184847555,$$,4.5,243,"['pickup', 'delivery']",https://www.yelp.com/biz/the-food-sermon-kitchen-brooklyn?adjust_creative=_dOL2tQEZNA2cv5pnszrdw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_dOL2tQEZNA2cv5pnszrdw
8,la-ñapa-brooklyn-2,"[{'alias': 'tapas', 'title': 'Tapas Bars'}]","{'latitude': 40.675979, 'longitude': -73.950252}",(347) 435-0920,2782.524249666963,tXWA5kUJnZY_NbED1-ST0g,https://s3-media3.fl.yelpcdn.com/bphoto/ruvXEja-fF7uoiSHl69LnQ/o.jpg,False,"{'address1': '656 Nostrand Ave', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11216', 'country': 'US', 'state': 'NY', 'display_address': ['656 Nostrand Ave', 'Brooklyn, NY 11216']}",La Ñapa,+13474350920,,5.0,12,"['pickup', 'delivery']",https://www.yelp.com/biz/la-%C3%B1apa-brooklyn-2?adjust_creative=_dOL2tQEZNA2cv5pnszrdw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_dOL2tQEZNA2cv5pnszrdw
9,mominette-brooklyn,"[{'alias': 'french', 'title': 'French'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'seafood', 'title': 'Seafood'}]","{'latitude': 40.7032458, 'longitude': -73.9258954}",(929) 234-2941,5774.319661323198,49ST--X1jcIPzUIM1O3K6w,https://s3-media2.fl.yelpcdn.com/bphoto/5SZC3lRRphWbyVrcrArxcg/o.jpg,False,"{'address1': '221 Knickerbocker Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11237', 'country': 'US', 'state': 'NY', 'display_address': ['221 Knickerbocker Ave', 'Brooklyn, NY 11237']}",Mominette,+19292342941,$$,4.0,628,"['pickup', 'restaurant_reservation']",https://www.yelp.com/biz/mominette-brooklyn?adjust_creative=_dOL2tQEZNA2cv5pnszrdw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_dOL2tQEZNA2cv5pnszrdw
